issue,category,category_description,comment_count,comment_likes_count,comment_replies_count,comment_shares_count,likes_per_comment
Technology,"Social Media, Online Behavior, and Censorship.Online Community Dynamics and Misinformation","Observations of group behavior, the spread of misinformation or scam posts, and challenges in managing online communities and ensuring accurate discourse.",22,38,15,0,1.727272727
Technology,"Social Media, Online Behavior, and Censorship.Social Media Critiques","Discussions focused on platform policies, censorship practices, and how social media moderates technology-related content and user interactions.",35,59,11,0,1.685714286
Technology,"Surveillance, Privacy, and Drones.Drone Operations and Aerial Monitoring","Discussions about drone use in public spaces, legal boundaries, potential invasions of privacy, and community reactions.",57,57,44,0,1
Technology,"Surveillance, Privacy, and Drones.Surveillance Technologies","Debates about CCTV, facial recognition tools, ANPR systems, and other monitoring devices, weighing public safety against privacy.",172,244,103,0,1.418604651
Technology,"Technological Change, Nostalgia, and Resistance.Nostalgia for Pre-Digital Eras","Reflections on simpler times marked by cash transactions and face-to-face interactions, in contrast to today's pervasive digital technologies.",115,213,50,0,1.852173913
Technology,"Technological Change, Nostalgia, and Resistance.Resistance to Rapid Technological Change","Critiques of fast-paced tech adoption that may lead to job losses, social isolation, and generational disconnect, questioning whether progress benefits all.",75,185,42,0,2.466666667
Technology,Uncategorised.Not enough information,,62,86,38,0,1.387096774
Transport,Alternative Transport & Technology.Cycling & Micromobility Infrastructure,"Talks about developing safe cycle lanes, scooter parking challenges, and general micro-mobility issues.",641,1538,427,0,2.399375975
Transport,Alternative Transport & Technology.Electric Vehicle & Charging Infrastructure,"Feedback about issues with electric vehicle technology, charging station availability, and related infrastructure.",94,168,89,0,1.787234043
Transport,Alternative Transport & Technology.Urban & Environmental Transport Reform,"Debates on sustainable urban planning, green transport initiatives, and community-driven shifts toward environmentally friendly mobility.",38,81,19,0,2.131578947
Transport,"Driving Behavior & Road Safety.Driver Etiquette, Lane Discipline & Reporting","Critiques of aggressive driving, improper lane use, and the importance of dashing recordings or incident reporting.",660,1843,331,0,2.792424242
Transport,Driving Behavior & Road Safety.Protection of Vulnerable Road Users,"Concerns for pedestrian, cyclist, and horse rider safety including the effectiveness of crossings and driver awareness.",939,1886,466,0,2.008519702
Transport,Driving Behavior & Road Safety.Speeding & Reckless Driving,"Discussions on speeding, the controversy over 20mph zones, and accidents caused by irresponsible driving.",1581,2720,857,0,1.720430108
Transport,Infrastructure & Maintenance.Parking & Accessibility,"Issues related to illegal or obstructive parking, permit controversies, and challenges accessing sidewalks or public areas.",2519,4831,1434,0,1.917824534
Transport,Infrastructure & Maintenance.Road Surface & Drainage,"Comments about deteriorating road surfaces including potholes, uneven pavements, and issues with flooding or poor drainage.",3172,3688,1041,0,1.162673392
Transport,Infrastructure & Maintenance.Roadworks & Closures,"Feedback regarding ongoing construction, temporary closures, and diversions that disrupt travel routines.",3864,4140,1792,0,1.071428571
Transport,"Infrastructure & Maintenance.Traffic Signage, Lights & Signal Issues","Discussions focused on malfunctioning traffic lights, confusing road signs, and unclear directional or speed-limit indicators.",1812,2943,868,0,1.624172185
Transport,"Policy, Funding & Governance.Government Spending & Infrastructure Funding","Debates over public expenditure, misallocation of funds, and insufficient budgets affecting transport maintenance.",680,1734,356,0,2.55
Transport,"Policy, Funding & Governance.Institutional Accountability & Decision-making","Criticism of councils, government bodies, and contractors for flawed planning, delayed responses, and bureaucratic inaction.",263,693,190,0,2.634980989
Transport,"Policy, Funding & Governance.Public Activism & Petitions","Mentions of grassroots campaigns, petitions, and collective actions demanding improvements in transport infrastructure.",237,374,124,0,1.578059072
Transport,"Policy, Funding & Governance.Transport Policy & Regulatory Changes","Discussions on new regulations such as ULEZ, speed limit adjustments, and policy shifts that directly impact mobility.",935,2160,640,0,2.310160428
Transport,Public Transportation.Airport Operations & Aviation,"Debates on local airport management, proposals for reopening or expanding airport services, and challenges with airspace regulation.",1225,2037,258,0,1.662857143
Transport,Public Transportation.Bus Service Reliability & Fares,"User experiences addressing delays, inconsistent schedules, fare hikes, and overall bus service quality.",1555,2036,662,0,1.309324759
Transport,Public Transportation.Digital Ticketing & Payment Systems,"Observations about contactless payment failures, app-based ticket purchase difficulties, and technology glitches in fare systems.",131,194,70,0,1.480916031
Transport,Public Transportation.Rail Network & Station Services,"Feedback on train delays, station closures, ticketing problems, and the quality of rail accommodations.",710,1292,380,0,1.81971831
Transport,Uncategorised.No category,,21,38,11,0,1.80952381
Transport,Uncategorised.Not enough information,,584,730,203,0,1.25
